Wavelength,Intensity
190.03738814827884,789
190.1024134583397,758
190.1674391684325,789
190.23246527751752,789
190.29749178455458,840
190.36251868850323,726
190.4275459883223,793
190.49257368297035,754
190.55760177140547,810
190.62263025258528,726
190.68765912546695,829
190.75268838900723,800
190.81771804216243,817
190.88274808388843,819
190.94777851314058,787
191.01280932887383,724
191.07784053004275,784
191.1428721156014,776
191.2079040845033,845
191.27293643570178,777
191.33796916814956,826
191.40300228079883,782
191.46803577260152,804
191.53306964250896,802
191.59810388947218,798
191.66313851244166,779
191.7281735103674,861
191.79320888219914,780
191.858244626886,803
191.9232807433767,789
191.9883172306195,787
192.0533540875623,796
192.11839131315244,848
192.18342890633693,813
192.24846686606222,848
192.3135051912744,769
192.37854388091907,852
192.4435829339414,802
192.50862234928616,796
192.57366212589753,796
192.63870226271945,862
192.70374275869523,766
192.7687836127679,817
192.83382482387987,784
192.89886639097327,862
192.96390831298964,755
193.02895058887023,867
193.09399321755566,824
193.15903619798624,824
193.22407952910186,825
193.28912320984185,859
193.35416723914517,787
193.4192116159503,832
193.48425633919527,804
193.5493014078177,814
193.61434682075478,781
193.67939257694317,843
193.74443867531923,786
193.8094851148187,798
193.874531894377,769
193.93957901292902,818
194.0046264694093,779
194.06967426275185,835
194.13472239189028,793
194.19977085575778,830
194.264819653287,809
194.3298687834102,815
194.39491824505927,793
194.45996803716557,840
194.52501815865998,745
194.590068608473,828
194.65511938553465,789
194.7201704887746,868
194.78522191712196,784
194.85027366950538,842
194.91532574485325,812
194.9803781420932,850
195.04543086015272,782
195.11048389795877,824
195.17553725443773,783
195.24059092851567,828
195.30564491911824,817
195.37069922517045,847
195.43575384559713,778
195.50080877932248,829
195.56586402527026,780
195.63091958236393,818
195.69597544952637,737
195.76103162568003,861
195.82608810974696,808
195.89114490064878,822
195.95620199730655,853
196.02125939864098,826
196.08631710357238,794
196.15137511102054,890
196.2164334199048,815
196.281492029144,848
196.34655093765676,815
196.41161014436096,833
196.47666964817427,815
196.54172944801377,871
196.60678954279618,806
196.67184993143775,877
196.73691061285427,754
196.80197158596113,851
196.8670328496731,813
196.93209440290482,859
196.99715624457016,796
197.06221837358282,867
197.12728078885587,795
197.19234348930198,870
197.2574064738334,813
197.32246974136197,872
197.38753329079898,831
197.4525971210553,897
197.5176612310415,807
197.58272561966749,880
197.64779028584292,822
197.71285522847688,853
197.777920446478,874
197.84298593875457,865
197.90805170421433,820
197.9731177417647,843
198.03818405031254,808
198.10325062876427,913
198.16831747602598,838
198.23338459100313,858
198.29845197260087,851
198.36351961972397,894
198.42858753127646,800
198.49365570616237,885
198.55872414328485,823
198.62379284154687,873
198.68886179985088,869
198.7539310170988,868
198.81900049219234,806
198.88407022403246,859
198.94914021151993,836
199.0142104535549,896
199.0792809490372,776
199.14435169686618,893
199.20942269594067,825
199.27449394515915,896
199.33956544341962,838
199.40463718961956,870
199.4697091826562,850
199.53478142142615,862
199.59985390482558,814
199.66492663175032,865
199.72999960109564,821
199.7950728117565,903
199.86014626262732,849
199.92521995260202,873
199.99029388057423,842
200.05536804543706,882
200.12044244608308,807
200.18551708140456,896
200.25059195029328,844
200.3156670516405,877
200.3807423843372,823
200.44581794727372,869
200.5108937393401,832
200.57596975942587,858
200.64104600642008,814
200.7061224792115,879
200.77119917668819,816
200.836276097738,860
200.90135324124822,813
200.96643060610577,883
201.03150819119705,851
201.096585995408,820
201.1616640176242,796
201.22674225673072,914
201.29182071161222,787
201.3568993811529,843
201.42197826423654,846
201.48705735974644,896
201.55213666656547,817
201.61721618357603,849
201.68229590966013,837
201.74737584369925,861
201.81245598457448,804
201.8775363311665,910
201.94261688235557,834
202.00769763702132,858
202.07277859404311,840
202.1378597522998,852
202.20294111066983,813
202.26802266803108,857
202.3331044232612,849
202.3981863752372,880
202.46326852283576,796
202.52835086493306,910
202.5934334004048,812
202.6585161281263,898
202.72359904697248,868
202.78868215581764,884
202.85376545353586,839
202.9188489390006,888
202.98393261108495,865
203.04901646866156,896
203.11410051060258,822
203.17918473577976,879
203.2442691430644,850
203.3093537313274,904
203.3744384994391,832
203.4395234462695,857
203.5046085706881,781
203.56969387156397,889
203.63477934776577,872
203.6998649981616,866
203.76495082161927,846
203.8300368170061,902
203.8951229831888,846
203.96020931903394,872
204.02529582340736,819
204.09038249517462,885
204.15546933320076,873
204.2205563363504,919
204.28564350348776,874
204.35073083347655,891
204.41581832518006,878
204.48090597746108,892
204.5459937891821,801
204.61108175920498,877
204.67616988639128,821
204.74125816960202,921
204.80634660769786,848
204.87143519953898,884
204.93652394398507,846
205.0016128398954,890
205.06670188612887,882
205.13179108154375,888
205.1968804249981,804
205.26196991534945,881
205.32705955145474,843
205.39214933217067,877
205.45723925635335,862
205.5223293228585,880
205.5874195305414,862
205.65250987825695,843
205.71760036485946,848
205.7826909892029,889
205.84778175014077,822
205.91287264652613,917
205.97796367721153,845
206.04305484104916,844
206.10814613689078,846
206.1732375635876,847
206.2383291199905,802
206.30342080494984,902
206.3685126173155,752
206.43360455593705,845
206.49869661966355,801
206.56378880734346,869
206.62888111782507,825
206.69397354995607,840
206.75906610258374,804
206.8241587745548,830
206.88925156471572,776
206.95434447191244,836
207.01943749499037,828
207.0845306327946,846
207.14962388416973,807
207.21471724795987,892
207.27981072300878,822
207.3449043081597,842
207.40999800225543,807
207.47509180413834,901
207.54018571265036,784
207.60527972663297,873
207.67037384492724,841
207.7354680663737,871
207.80056238981257,836
207.86565681408348,820
207.93075133802571,804
207.9958459604781,882
208.06094068027895,799
208.12603549626624,838
208.19113040727743,826
208.25622541214955,900
208.3213205097192,823
208.38641569882245,863
208.451510978295,821
208.5166063469722,849
208.58170180368884,780
208.6467973472792,867
208.71189297657725,819
208.77698869041646,838
208.84208448762982,852
208.9071803670499,820
208.9722763275089,789
209.0373723678385,869
209.1024684868699,799
209.1675646834339,896
209.2326609563609,814
209.2977573044808,910
209.362853726623,812
209.42795022161664,813
209.49304678829014,868
209.55814342547177,821
209.62324013198915,839
209.68833690666955,848
209.75343374833975,782
209.81853065582607,850
209.8836276279544,810
209.94872466355028,865
210.01382176143872,804
210.0789189204442,841
210.14401613939094,821
210.20911341710257,861
210.27421075240235,788
210.339308144113,824
210.40440559105696,796
210.46950309205607,862
210.53460064593176,836
210.59969825150515,854
210.66479590759673,800
210.7298936130266,866
210.79499136661445,791
210.86008916717952,856
210.9251870135406,781
210.99028490451605,862
211.05538283892375,825
211.1204808155811,859
211.18557883330516,856
211.25067689091247,834
211.3157749872191,789
211.38087312104082,808
211.4459712911928,801
211.5110694964898,832
211.57616773574617,771
211.6412660077758,878
211.70636431139215,810
211.7714626454082,842
211.8365610086365,834
211.90165939988916,861
211.96675781797788,783
212.03185626171384,857
212.09695472990782,781
212.16205322137017,841
212.22715173491076,834
212.292250269339,863
212.35734882346395,808
212.4224473960941,878
212.4875459860376,814
212.55264459210207,845
212.6177432130947,777
212.68284184782237,900
212.74794049509129,817
212.81303915370734,827
212.87813782247605,844
212.94323650020237,838
213.00833518569078,824
213.07343387774546,820
213.13853257517002,769
213.20363127676768,834
213.26872998134118,851
213.3338286876929,884
213.39892739462462,842
213.4640261009379,864
213.52912480543358,851
213.5942235069123,865
213.65932220417412,756
213.72442089601864,861
213.78951958124517,802
213.85461825865238,859
213.91971692703862,862
213.9848155852018,850
214.04991423193925,824
214.11501286604798,869
214.1801114863246,811
214.24521009156507,845
214.3103086805651,799
214.37540725211994,864
214.4405058050243,844
214.5056043380724,847
214.57070285005824,860
214.6358013397752,865
214.7008998060162,800
214.7659982475738,866
214.83109666324012,795
214.89619505180676,884
214.9612934120649,836
215.02639174280532,892
215.09149004281832,859
215.1565883108937,865
215.22168654582094,836
215.28678474638903,888
215.3518829113864,788
215.41698103960127,915
215.4820791298211,796
215.54717718083322,848
215.6122751914243,882
215.6773731603806,882
215.74247108648808,821
215.80756896853208,872
215.87266680529757,822
215.9377645955691,875
216.00286233813074,807
216.06796003176606,910
216.13305767525824,824
216.19815526739012,833
216.2632528069439,841
216.3283502927015,855
216.39344772344424,809
216.45854509795313,880
216.5236424150087,776
216.58873967339093,862
216.65383687187958,807
216.71893400925367,884
216.78403108429208,806
216.849128095773,836
216.91422504247433,883
216.97932192317342,883
217.04441873664726,830
217.1095154816723,893
217.17461215702465,830
217.23970876147996,917
217.30480529381333,859
217.36990175279954,873
217.43499813721286,836
217.50009444582713,879
217.56519067741573,812
217.63028683075157,893
217.69538290460724,780
217.76047889775475,888
217.8255748089657,827
217.89067063701125,862
217.95576638066223,844
218.02086203868876,828
218.08595760986074,840
218.1510530929476,887
218.21614848671817,823
218.2812437899411,912
218.34633900138434,844
218.41143411981554,910
218.47652914400183,845
218.54162407270988,897
218.6067189047061,830
218.67181363875622,892
218.73690827362566,841
218.8020028080793,892
218.8670972408817,866
218.93219157079685,887
218.99728579658836,858
219.06237991701948,890
219.1274739308528,828
219.19256783685063,919
219.25766163377486,829
219.32275532038673,893
219.38784889544732,855
219.45294235771698,932
219.51803570595584,873
219.5831289389235,892
219.64822205537902,888
219.71331505408125,911
219.77840793378832,860
219.8435006932581,950
219.90859333124803,886
219.9736858465149,926
220.03877823781525,879
220.10387050390514,934
220.16896264354017,883
220.2340546554755,921
220.29914653846575,881
220.36423829126525,909
220.42932991262776,841
220.49442140130668,951
220.55951275605494,884
220.624603975625,878
220.68969505876885,888
220.75478600423818,914
220.81987681078405,859
220.88496747715718,918
220.9500580021078,855
221.01514838438572,936
221.08023862274035,851
221.14532871592058,921
221.21041866267487,851
221.27550846175126,885
221.3405981118973,922
221.40568761186015,889
221.47077696038647,882
221.5358661562226,883
221.60095519811424,826
221.66604408480683,933
221.73113281504519,892
221.79622138757387,917
221.86130980113677,871
221.92639805447766,905
221.99148614633947,910
222.05657407546502,944
222.12166184059652,860
222.18674944047575,937
222.25183687384404,838
222.3169241394423,885
222.38201123601107,862
222.44709816229027,880
222.51218491701954,886
222.57727149893796,897
222.6423579067842,880
222.70744413929657,889
222.7725301952128,840
222.83761607327023,933
222.90270177220577,864
222.9677872907559,874
223.03287262765664,848
223.09795778164352,852
223.16304275145168,824
223.2281275358158,896
223.2932121334701,821
223.3582965431483,938
223.42338076358388,832
223.48846479350962,904
223.55354863165806,858
223.61863227676116,876
223.68371572755044,877
223.74879898275705,826
223.81388204111167,808
223.87896490134452,873
223.94404756218543,844
224.00913002236365,892
224.07421228060812,851
224.1392943356473,916
224.20437618620912,830
224.26945783102119,854
224.33453926881063,858
224.39962049830405,889
224.46470151822774,802
224.52978232730746,859
