Wavelength,Intensity
190.03738814827884,793
190.1024134583397,741
190.1674391684325,787
190.23246527751752,750
190.29749178455458,789
190.36251868850323,724
190.4275459883223,792
190.49257368297035,737
190.55760177140547,835
190.62263025258528,722
190.68765912546695,834
190.75268838900723,764
190.81771804216243,810
190.88274808388843,807
190.94777851314058,809
191.01280932887383,705
191.07784053004275,810
191.1428721156014,771
191.2079040845033,799
191.27293643570178,794
191.33796916814956,844
191.40300228079883,791
191.46803577260152,825
191.53306964250896,783
191.59810388947218,799
191.66313851244166,748
191.7281735103674,827
191.79320888219914,796
191.858244626886,825
191.9232807433767,771
191.9883172306195,788
192.0533540875623,805
192.11839131315244,828
192.18342890633693,804
192.24846686606222,839
192.3135051912744,746
192.37854388091907,870
192.4435829339414,800
192.50862234928616,770
192.57366212589753,789
192.63870226271945,837
192.70374275869523,783
192.7687836127679,828
192.83382482387987,755
192.89886639097327,820
192.96390831298964,764
193.02895058887023,819
193.09399321755566,782
193.15903619798624,791
193.22407952910186,808
193.28912320984185,814
193.35416723914517,763
193.4192116159503,839
193.48425633919527,767
193.5493014078177,804
193.61434682075478,787
193.67939257694317,821
193.74443867531923,757
193.8094851148187,805
193.874531894377,780
193.93957901292902,807
194.0046264694093,784
194.06967426275185,846
194.13472239189028,758
194.19977085575778,822
194.264819653287,793
194.3298687834102,804
194.39491824505927,747
194.45996803716557,843
194.52501815865998,777
194.590068608473,824
194.65511938553465,772
194.7201704887746,859
194.78522191712196,787
194.85027366950538,848
194.91532574485325,802
194.9803781420932,840
195.04543086015272,783
195.11048389795877,817
195.17553725443773,766
195.24059092851567,821
195.30564491911824,814
195.37069922517045,821
195.43575384559713,774
195.50080877932248,825
195.56586402527026,758
195.63091958236393,841
195.69597544952637,740
195.76103162568003,813
195.82608810974696,782
195.89114490064878,841
195.95620199730655,814
196.02125939864098,828
196.08631710357238,792
196.15137511102054,817
196.2164334199048,788
196.281492029144,851
196.34655093765676,798
196.41161014436096,832
196.47666964817427,824
196.54172944801377,876
196.60678954279618,785
196.67184993143775,837
196.73691061285427,736
196.80197158596113,880
196.8670328496731,788
196.93209440290482,844
196.99715624457016,804
197.06221837358282,848
197.12728078885587,794
197.19234348930198,848
197.2574064738334,780
197.32246974136197,862
197.38753329079898,812
197.4525971210553,885
197.5176612310415,814
197.58272561966749,872
197.64779028584292,799
197.71285522847688,848
197.777920446478,848
197.84298593875457,855
197.90805170421433,796
197.9731177417647,813
198.03818405031254,810
198.10325062876427,898
198.16831747602598,831
198.23338459100313,834
198.29845197260087,814
198.36351961972397,847
198.42858753127646,803
198.49365570616237,883
198.55872414328485,825
198.62379284154687,871
198.68886179985088,847
198.7539310170988,855
198.81900049219234,827
198.88407022403246,842
198.94914021151993,831
199.0142104535549,867
199.0792809490372,777
199.14435169686618,877
199.20942269594067,831
199.27449394515915,871
199.33956544341962,843
199.40463718961956,866
199.4697091826562,842
199.53478142142615,849
199.59985390482558,809
199.66492663175032,895
199.72999960109564,803
199.7950728117565,879
199.86014626262732,818
199.92521995260202,862
199.99029388057423,849
200.05536804543706,819
200.12044244608308,791
200.18551708140456,857
200.25059195029328,819
200.3156670516405,874
200.3807423843372,827
200.44581794727372,867
200.5108937393401,828
200.57596975942587,881
200.64104600642008,759
200.7061224792115,893
200.77119917668819,793
200.836276097738,862
200.90135324124822,810
200.96643060610577,849
201.03150819119705,836
201.096585995408,850
201.1616640176242,781
201.22674225673072,861
201.29182071161222,802
201.3568993811529,890
201.42197826423654,845
201.48705735974644,886
201.55213666656547,798
201.61721618357603,843
201.68229590966013,823
201.74737584369925,854
201.81245598457448,801
201.8775363311665,891
201.94261688235557,801
202.00769763702132,869
202.07277859404311,835
202.1378597522998,862
202.20294111066983,807
202.26802266803108,838
202.3331044232612,840
202.3981863752372,851
202.46326852283576,777
202.52835086493306,911
202.5934334004048,847
202.6585161281263,878
202.72359904697248,851
202.78868215581764,860
202.85376545353586,855
202.9188489390006,907
202.98393261108495,843
203.04901646866156,889
203.11410051060258,814
203.17918473577976,883
203.2442691430644,829
203.3093537313274,883
203.3744384994391,804
203.4395234462695,839
203.5046085706881,775
203.56969387156397,884
203.63477934776577,825
203.6998649981616,886
203.76495082161927,841
203.8300368170061,911
203.8951229831888,832
203.96020931903394,892
204.02529582340736,827
204.09038249517462,880
204.15546933320076,855
204.2205563363504,928
204.28564350348776,810
204.35073083347655,867
204.41581832518006,892
204.48090597746108,865
204.5459937891821,810
204.61108175920498,899
204.67616988639128,799
204.74125816960202,894
204.80634660769786,856
204.87143519953898,873
204.93652394398507,815
205.0016128398954,871
205.06670188612887,849
205.13179108154375,858
205.1968804249981,802
205.26196991534945,893
205.32705955145474,833
205.39214933217067,846
205.45723925635335,835
205.5223293228585,851
205.5874195305414,804
205.65250987825695,848
205.71760036485946,837
205.7826909892029,879
205.84778175014077,827
205.91287264652613,884
205.97796367721153,842
206.04305484104916,844
206.10814613689078,841
206.1732375635876,863
206.2383291199905,780
206.30342080494984,881
206.3685126173155,774
206.43360455593705,836
206.49869661966355,775
206.56378880734346,890
206.62888111782507,782
206.69397354995607,839
206.75906610258374,796
206.8241587745548,851
206.88925156471572,785
206.95434447191244,829
207.01943749499037,789
207.0845306327946,840
207.14962388416973,845
207.21471724795987,904
207.27981072300878,796
207.3449043081597,814
207.40999800225543,794
207.47509180413834,892
207.54018571265036,770
207.60527972663297,854
207.67037384492724,835
207.7354680663737,847
207.80056238981257,834
207.86565681408348,843
207.93075133802571,793
207.9958459604781,891
208.06094068027895,809
208.12603549626624,855
208.19113040727743,817
208.25622541214955,894
208.3213205097192,873
208.38641569882245,838
208.451510978295,829
208.5166063469722,858
208.58170180368884,799
208.6467973472792,870
208.71189297657725,795
208.77698869041646,852
208.84208448762982,813
208.9071803670499,795
208.9722763275089,779
209.0373723678385,855
209.1024684868699,796
209.1675646834339,890
209.2326609563609,783
209.2977573044808,887
209.362853726623,817
209.42795022161664,830
209.49304678829014,893
209.55814342547177,785
209.62324013198915,821
209.68833690666955,844
209.75343374833975,797
209.81853065582607,864
209.8836276279544,820
209.94872466355028,892
210.01382176143872,818
210.0789189204442,824
210.14401613939094,790
210.20911341710257,840
210.27421075240235,776
210.339308144113,839
210.40440559105696,820
210.46950309205607,849
210.53460064593176,812
210.59969825150515,850
210.66479590759673,811
210.7298936130266,872
210.79499136661445,764
210.86008916717952,818
210.9251870135406,773
210.99028490451605,875
211.05538283892375,804
211.1204808155811,830
211.18557883330516,851
211.25067689091247,830
211.3157749872191,771
211.38087312104082,826
211.4459712911928,769
211.5110694964898,811
211.57616773574617,773
211.6412660077758,841
211.70636431139215,807
211.7714626454082,814
211.8365610086365,807
211.90165939988916,838
211.96675781797788,752
212.03185626171384,849
212.09695472990782,773
212.16205322137017,819
212.22715173491076,841
212.292250269339,858
212.35734882346395,806
212.4224473960941,884
212.4875459860376,817
212.55264459210207,860
212.6177432130947,767
212.68284184782237,869
212.74794049509129,818
212.81303915370734,834
212.87813782247605,812
212.94323650020237,823
213.00833518569078,796
213.07343387774546,815
213.13853257517002,771
213.20363127676768,840
213.26872998134118,841
213.3338286876929,866
213.39892739462462,817
213.4640261009379,829
213.52912480543358,776
213.5942235069123,840
213.65932220417412,787
213.72442089601864,832
213.78951958124517,794
213.85461825865238,858
213.91971692703862,796
213.9848155852018,861
214.04991423193925,824
214.11501286604798,887
214.1801114863246,809
214.24521009156507,838
214.3103086805651,798
214.37540725211994,858
214.4405058050243,825
214.5056043380724,872
214.57070285005824,847
214.6358013397752,815
214.7008998060162,785
214.7659982475738,882
214.83109666324012,750
214.89619505180676,847
214.9612934120649,813
215.02639174280532,902
215.09149004281832,829
215.1565883108937,851
215.22168654582094,829
215.28678474638903,862
215.3518829113864,767
215.41698103960127,896
215.4820791298211,833
215.54717718083322,840
215.6122751914243,851
215.6773731603806,877
215.74247108648808,830
215.80756896853208,876
215.87266680529757,812
215.9377645955691,861
216.00286233813074,798
216.06796003176606,897
216.13305767525824,854
216.19815526739012,806
216.2632528069439,854
216.3283502927015,861
216.39344772344424,768
216.45854509795313,875
216.5236424150087,781
216.58873967339093,801
216.65383687187958,788
216.71893400925367,852
216.78403108429208,827
216.849128095773,846
