Wavelength,Correction Factor
1.900373881482788363e+02,2.290790137215691514e-03
1.901024134583396972e+02,2.325210842769251818e-03
1.901674391684325087e+02,2.356812073941290820e-03
1.902324652775175196e+02,2.479130400578621884e-03
1.902974917845545804e+02,2.645058849871042943e-03
1.903625186885032292e+02,2.624009086077114684e-03
1.904275459883222936e+02,2.489431246977590571e-03
1.904925736829703453e+02,2.390627395497943626e-03
1.905576017714054728e+02,2.343686760006591287e-03
1.906226302525852816e+02,2.248194207487359993e-03
1.906876591254669506e+02,2.217135369287625505e-03
1.907526883890072327e+02,2.143685567295277802e-03
1.908177180421624257e+02,2.127342611628948391e-03
1.908827480838884298e+02,2.076937518608571072e-03
1.909477785131405767e+02,2.075566901621176200e-03
1.910128093288738285e+02,2.020893072313508648e-03
1.910778405300427494e+02,1.980470385465671335e-03
1.911428721156013921e+02,1.993705667734170604e-03
1.912079040845032978e+02,1.938705466332761237e-03
1.912729364357017801e+02,1.927488432972972567e-03
1.913379691681495558e+02,1.926902123641045187e-03
1.914030022807988303e+02,1.896267790432900648e-03
1.914680357726015245e+02,1.877313291610078561e-03
1.915330696425089627e+02,1.884913875248437742e-03
1.915981038894721848e+02,1.864419599402335898e-03
1.916631385124416624e+02,1.834256713048247438e-03
1.917281735103674123e+02,1.834411806522853045e-03
1.917932088821991385e+02,1.832169773157172211e-03
1.918582446268860053e+02,1.812755308032743505e-03
1.919232807433766936e+02,1.803549914580212556e-03
1.919883172306194865e+02,1.796871731411666274e-03
1.920533540875622975e+02,1.792330574450969397e-03
1.921183913131524434e+02,1.785982151789400471e-03
1.921834289063369283e+02,1.783334226480934185e-03
1.922484668660622162e+02,1.784194050710293617e-03
1.923135051912744018e+02,1.796335390664182460e-03
1.923785438809190680e+02,1.812782349366917753e-03
1.924435829339413999e+02,1.886147474752416543e-03
1.925086223492861563e+02,1.885271017643901093e-03
1.925736621258975276e+02,1.855652349473149590e-03
1.926387022627194483e+02,1.814872800730799084e-03
1.927037427586952276e+02,1.800151704935363606e-03
1.927687836127678906e+02,1.752194280096317988e-03
1.928338248238798656e+02,1.747224094283560255e-03
1.928988663909732679e+02,1.716508072993092309e-03
1.929639083129896449e+02,1.717374048533102911e-03
1.930289505888702308e+02,1.694827331553468153e-03
1.930939932175556635e+02,1.686944361679491812e-03
1.931590361979862394e+02,1.662326284072227324e-03
1.932240795291018571e+02,1.655250158498352284e-03
1.932891232098418470e+02,1.650773333924113531e-03
1.933541672391451698e+02,1.631792939883119648e-03
1.934192116159503030e+02,1.617086835557926452e-03
1.934842563391952694e+02,1.611219291686542430e-03
1.935493014078176941e+02,1.600026344162051558e-03
1.936143468207547755e+02,1.586341160467731777e-03
1.936793925769431723e+02,1.587757053557859940e-03
1.937444386753192305e+02,1.574863910520773276e-03
1.938094851148186990e+02,1.571648014212270175e-03
1.938745318943769860e+02,1.580413796673106521e-03
1.939395790129290162e+02,1.567253910407843519e-03
1.940046264694092883e+02,1.572410970476502759e-03
1.940696742627518461e+02,1.553777153160217691e-03
1.941347223918902785e+02,1.547940515056400344e-03
1.941997708557577766e+02,1.546653725763383900e-03
1.942648196532869918e+02,1.540494978943087075e-03
1.943298687834102054e+02,1.528164093767744479e-03
1.943949182450592730e+02,1.537207528665417936e-03
1.944599680371655666e+02,1.525506814419633553e-03
1.945250181586599751e+02,1.523428481923593545e-03
1.945900686084729898e+02,1.514281815804095635e-03
1.946551193855346469e+02,1.520486507371399381e-03
1.947201704887746132e+02,1.531997472573184797e-03
1.947852219171219588e+02,1.545850898815678007e-03
1.948502736695053841e+02,1.532973249165437823e-03
1.949153257448532486e+02,1.534487394178942485e-03
1.949803781420932012e+02,1.518043023173216771e-03
1.950454308601527202e+02,1.507054748302742546e-03
1.951104838979587726e+02,1.495167328835612756e-03
1.951755372544377281e+02,1.500801052612622333e-03
1.952405909285156724e+02,1.487604649324117054e-03
1.953056449191182367e+02,1.481593881042910085e-03
1.953706992251704548e+02,1.473132996647202745e-03
1.954357538455971337e+02,1.477259578569244678e-03
1.955008087793224831e+02,1.465071783330891119e-03
1.955658640252702583e+02,1.463479006822431244e-03
1.956309195823639300e+02,1.459405358972979804e-03
1.956959754495263724e+02,1.455451209152515586e-03
1.957610316256800331e+02,1.441159068978418046e-03
1.958260881097469621e+02,1.451507191254535747e-03
1.958911449006487828e+02,1.441287955399586781e-03
1.959562019973065503e+02,1.440219529116790057e-03
1.960212593986409786e+02,1.429978658127743210e-03
1.960863171035723838e+02,1.435632759046557650e-03
1.961513751110205419e+02,1.432230903559542990e-03
1.962164334199048028e+02,1.428107404386054664e-03
1.962814920291440046e+02,1.424874926237333379e-03
1.963465509376567582e+02,1.419414993610894219e-03
