Wavelength,Intensity
190.03738814827884,794
190.1024134583397,749
190.1674391684325,803
190.23246527751752,760
190.29749178455458,795
190.36251868850323,749
190.4275459883223,808
190.49257368297035,747
190.55760177140547,832
190.62263025258528,735
190.68765912546695,818
190.75268838900723,780
190.81771804216243,803
190.88274808388843,778
190.94777851314058,795
191.01280932887383,703
191.07784053004275,818
191.1428721156014,779
191.2079040845033,813
191.27293643570178,777
191.33796916814956,827
191.40300228079883,783
191.46803577260152,831
191.53306964250896,790
191.59810388947218,810
191.66313851244166,761
191.7281735103674,861
191.79320888219914,797
191.858244626886,851
191.9232807433767,819
191.9883172306195,798
192.0533540875623,772
192.11839131315244,822
192.18342890633693,783
192.24846686606222,831
192.3135051912744,763
192.37854388091907,840
192.4435829339414,799
192.50862234928616,795
192.57366212589753,799
192.63870226271945,817
192.70374275869523,768
192.7687836127679,795
192.83382482387987,749
192.89886639097327,817
192.96390831298964,786
193.02895058887023,846
193.09399321755566,813
193.15903619798624,764
193.22407952910186,804
193.28912320984185,817
193.35416723914517,749
193.4192116159503,832
193.48425633919527,812
193.5493014078177,822
193.61434682075478,802
193.67939257694317,808
193.74443867531923,754
193.8094851148187,820
193.874531894377,783
193.93957901292902,787
194.0046264694093,780
194.06967426275185,837
194.13472239189028,756
194.19977085575778,851
194.264819653287,839
194.3298687834102,830
194.39491824505927,786
194.45996803716557,832
194.52501815865998,779
194.590068608473,821
194.65511938553465,817
194.7201704887746,851
194.78522191712196,822
194.85027366950538,851
194.91532574485325,814
194.9803781420932,844
195.04543086015272,785
195.11048389795877,815
195.17553725443773,739
195.24059092851567,821
195.30564491911824,832
195.37069922517045,846
195.43575384559713,771
195.50080877932248,825
195.56586402527026,768
195.63091958236393,844
195.69597544952637,765
195.76103162568003,869
195.82608810974696,782
195.89114490064878,832
195.95620199730655,822
196.02125939864098,848
196.08631710357238,802
196.15137511102054,863
196.2164334199048,788
196.281492029144,861
196.34655093765676,818
196.41161014436096,829
196.47666964817427,829
196.54172944801377,870
196.60678954279618,812
196.67184993143775,855
196.73691061285427,772
196.80197158596113,866
196.8670328496731,777
196.93209440290482,866
196.99715624457016,813
197.06221837358282,852
197.12728078885587,807
197.19234348930198,866
197.2574064738334,809
197.32246974136197,866
197.38753329079898,808
197.4525971210553,893
197.5176612310415,805
197.58272561966749,862
197.64779028584292,807
197.71285522847688,872
197.777920446478,870
197.84298593875457,862
197.90805170421433,783
197.9731177417647,847
198.03818405031254,822
198.10325062876427,921
198.16831747602598,849
198.23338459100313,829
198.29845197260087,825
198.36351961972397,849
198.42858753127646,804
198.49365570616237,886
198.55872414328485,806
198.62379284154687,904
198.68886179985088,834
198.7539310170988,882
198.81900049219234,813
198.88407022403246,867
198.94914021151993,828
199.0142104535549,901
199.0792809490372,773
199.14435169686618,902
199.20942269594067,807
199.27449394515915,906
199.33956544341962,864
199.40463718961956,850
199.4697091826562,807
199.53478142142615,849
199.59985390482558,825
199.66492663175032,884
199.72999960109564,827
199.7950728117565,867
199.86014626262732,854
199.92521995260202,880
199.99029388057423,840
200.05536804543706,851
200.12044244608308,759
200.18551708140456,915
200.25059195029328,838
200.3156670516405,862
200.3807423843372,845
200.44581794727372,871
200.5108937393401,841
200.57596975942587,861
200.64104600642008,805
200.7061224792115,876
200.77119917668819,797
200.836276097738,858
200.90135324124822,830
200.96643060610577,874
201.03150819119705,872
201.096585995408,852
201.1616640176242,793
201.22674225673072,889
201.29182071161222,789
201.3568993811529,884
201.42197826423654,832
201.48705735974644,902
201.55213666656547,800
201.61721618357603,804
201.68229590966013,826
201.74737584369925,842
201.81245598457448,793
201.8775363311665,898
201.94261688235557,832
202.00769763702132,863
202.07277859404311,833
202.1378597522998,886
202.20294111066983,787
202.26802266803108,868
202.3331044232612,837
202.3981863752372,864
202.46326852283576,809
202.52835086493306,913
202.5934334004048,828
202.6585161281263,874
202.72359904697248,834
202.78868215581764,906
202.85376545353586,850
202.9188489390006,908
202.98393261108495,823
203.04901646866156,911
203.11410051060258,819
203.17918473577976,893
203.2442691430644,826
203.3093537313274,895
203.3744384994391,849
203.4395234462695,865
203.5046085706881,788
203.56969387156397,909
203.63477934776577,847
203.6998649981616,874
203.76495082161927,884
203.8300368170061,912
203.8951229831888,814
203.96020931903394,903
204.02529582340736,827
204.09038249517462,900
204.15546933320076,832
204.2205563363504,905
204.28564350348776,839
204.35073083347655,885
204.41581832518006,858
204.48090597746108,882
204.5459937891821,808
204.61108175920498,905
204.67616988639128,810
204.74125816960202,907
204.80634660769786,815
204.87143519953898,880
204.93652394398507,872
205.0016128398954,891
205.06670188612887,841
205.13179108154375,885
205.1968804249981,794
205.26196991534945,912
205.32705955145474,851
205.39214933217067,900
205.45723925635335,836
205.5223293228585,869
205.5874195305414,820
205.65250987825695,881
205.71760036485946,816
205.7826909892029,878
205.84778175014077,824
205.91287264652613,878
205.97796367721153,846
206.04305484104916,824
206.10814613689078,827
206.1732375635876,856
206.2383291199905,789
206.30342080494984,889
206.3685126173155,776
206.43360455593705,847
206.49869661966355,802
206.56378880734346,910
206.62888111782507,826
206.69397354995607,822
206.75906610258374,829
206.8241587745548,849
206.88925156471572,815
206.95434447191244,845
207.01943749499037,815
207.0845306327946,846
207.14962388416973,842
207.21471724795987,889
207.27981072300878,802
207.3449043081597,857
207.40999800225543,799
207.47509180413834,895
207.54018571265036,798
207.60527972663297,901
207.67037384492724,818
207.7354680663737,837
207.80056238981257,843
207.86565681408348,849
207.93075133802571,792
207.9958459604781,889
208.06094068027895,814
208.12603549626624,867
208.19113040727743,792
208.25622541214955,884
208.3213205097192,830
208.38641569882245,867
208.451510978295,853
208.5166063469722,854
208.58170180368884,796
208.6467973472792,877
208.71189297657725,787
208.77698869041646,896
208.84208448762982,837
208.9071803670499,822
208.9722763275089,788
209.0373723678385,853
209.1024684868699,790
209.1675646834339,852
209.2326609563609,793
209.2977573044808,884
209.362853726623,814
209.42795022161664,825
209.49304678829014,920
209.55814342547177,848
209.62324013198915,810
209.68833690666955,877
209.75343374833975,818
209.81853065582607,832
209.8836276279544,806
209.94872466355028,855
210.01382176143872,820
210.0789189204442,851
210.14401613939094,830
210.20911341710257,867
210.27421075240235,807
210.339308144113,846
210.40440559105696,819
210.46950309205607,879
210.53460064593176,847
210.59969825150515,839
210.66479590759673,811
210.7298936130266,857
210.79499136661445,797
210.86008916717952,851
210.9251870135406,775
210.99028490451605,869
211.05538283892375,844
211.1204808155811,850
211.18557883330516,857
211.25067689091247,853
211.3157749872191,768
211.38087312104082,846
211.4459712911928,783
211.5110694964898,830
211.57616773574617,794
211.6412660077758,872
211.70636431139215,803
211.7714626454082,855
211.8365610086365,831
211.90165939988916,831
211.96675781797788,762
212.03185626171384,863
212.09695472990782,783
212.16205322137017,837
212.22715173491076,837
212.292250269339,863
212.35734882346395,821
212.4224473960941,879
212.4875459860376,776
212.55264459210207,854
212.6177432130947,755
212.68284184782237,874
212.74794049509129,805
212.81303915370734,844
212.87813782247605,833
212.94323650020237,833
213.00833518569078,807
213.07343387774546,832
213.13853257517002,794
213.20363127676768,842
213.26872998134118,828
213.3338286876929,839
213.39892739462462,830
213.4640261009379,859
213.52912480543358,847
213.5942235069123,836
213.65932220417412,789
213.72442089601864,847
213.78951958124517,803
213.85461825865238,861
