keV	QE (%)
0.5	1.0601
0.6	17.4345
0.7	29.8844
0.8	39.1648
0.9	46.0306
1	51.2367
1.1	55.5384
1.2	60.6903
1.3	67.7477
1.4	72.5655
1.5	78.7986
1.6	84.4339
1.7	84.8854
1.8	84.0989
1.9	58.6271
2	31.4488
2.1	23.0214
2.2	23.5901
2.3	26.772
2.4	39.5841
2.5	51.9435
2.6	60.2348
2.7	64.7128
2.8	65.86
2.9	67.1186
3	67.4912
3.1	68.6823
3.2	70.6261
3.3	72.9992
3.4	75.4778
3.5	77.7385
3.6	79.5265
3.7	80.8617
3.8	81.8331
3.9	82.5292
4	83.0389
4.1	83.4365
4.2	83.7389
4.3	83.9485
4.4	84.0677
4.5	84.0989
4.6	84.0392
4.7	83.8632
4.8	83.5405
4.9	83.0404
5	82.3322
5.1	81.4047
5.2	80.3248
5.3	79.1785
5.4	78.0521
5.5	77.0318
5.6	76.1737
5.7	75.4143
5.8	74.4598
5.9	73.6168
6	72.5915
6.1	71.5202
6.2	70.0577
6.3	68.4889
6.4	66.8984
6.5	65.371
6.6	63.9704
6.7	62.6757
6.8	61.4454
6.9	60.2376
7	59.0106
7.1	57.7348
7.2	56.4294
7.3	55.1259
7.4	53.8557
7.5	52.6502
7.6	51.5301
7.7	50.473
7.8	49.446
7.9	48.416
8	47.3498
8.1	46.2255
8.2	45.0651
8.3	43.9014
8.4	42.7674
8.5	41.6961
8.6	40.7126
8.7	39.8108
8.8	38.9767
8.9	38.1964
9	37.4558
9.1	36.7416
9.2	36.0421
9.3	35.3464
9.4	34.6435
9.5	33.9223
9.6	33.1748
9.7	32.4051
9.8	31.6205
9.9	30.8282
10	30.0353
10.1	29.2506
10.2	28.4886
10.3	27.7657
10.4	27.098
10.5	26.5018
10.6	25.9869
10.7	25.5385
10.8	25.1356
10.9	24.757
11	24.3816
11.1	23.992
11.2	23.5848
11.3	23.1604
11.4	22.7192
11.5	22.2615
11.6	21.7908
11.7	21.3238
11.8	20.88
11.9	20.4793
12	20.1413
12.1	19.875
12.2	19.6459
12.3	19.2086
12.4	18.7177
12.5	18.1
12.6	18.011
12.7	17.6144
12.8	16.9983
12.9	16.4263
13	15.9611
13.1	15.6454
13.2	15.4404
13.3	15.2873
13.4	15.1272
13.5	14.9011
13.6	14.3661
13.7	14.1435
13.8	13.6703
13.9	13.1837
14	12.7208
14.1	12.3129
14.2	11.9666
14.3	11.9831
14.4	11.863
14.5	11.3074
14.6	11.4126
14.7	11.1569
14.8	11.1143
14.9	11.0587
15	10.964
15.1	10.8113
15.2	10.6106
15.3	10.3793
15.4	10.1347
15.5	9.894
15.6	9.6703
15.7	9.4602
15.8	9.2559
15.9	9.0497
16	8.8339
16.1	8.6043
16.2	8.3704
16.3	8.1453
16.4	7.9421
16.5	7.7739
16.6	7.6496
16.7	7.5628
16.8	7.5028
16.9	7.4589
17	7.4206
17.1	7.3783
17.2	7.3263
17.3	7.2602
17.4	7.1753
17.5	7.0671
17.6	6.9338
17.7	6.7845
17.8	6.6312
17.9	6.4858
18	6.3604
18.1	6.2633
18.2	6.1888
18.3	6.1274
18.4	6.07
18.5	6.0071
18.6	5.9323
18.7	5.8512
18.8	5.7721
18.9	5.7035
19	5.6537
19.1	5.6283
19.2	5.6212
19.3	5.6234
19.4	5.626
19.5	5.62
19.6	5.5976
19.7	5.5561
19.8	5.4938
19.9	5.4091
20	5.3004
20.1	5.1681
20.2	5.0207
20.3	4.8689
20.4	4.723
20.5	4.5936
20.6	4.4888
20.7	4.4061
20.8	4.3404
20.9	4.2868
21	4.2403
21.1	4.1968
21.2	4.156
21.3	4.1185
21.4	4.085
21.5	4.056
21.6	4.0322
21.7	4.0142
21.8	4.0026
21.9	3.9979
22	4.0007
22.1	4.0096
22.2	4.0145
22.3	4.0036
22.4	3.9648
22.5	3.8861
22.6	3.7612
22.7	3.6062
22.8	3.4432
22.9	3.2939
23	3.1814
23.1	3.14
23.2	3.101
23.3	3.1143
23.4	3.1451
23.5	3.18
23.6	3.2074
23.7	3.2224
23.8	3.2217
23.9	3.202
24	3.1602
24.1	3.0956
24.2	3.0178
24.3	2.939
24.4	2.8713
24.5	2.827
24.6	2.8137
24.7	2.8216
24.8	2.836
24.9	2.8425
25	2.8267
25.1	2.7787
25.2	2.707
25.3	2.6251
25.4	2.5462
25.5	2.4835
25.6	2.4471
25.7	2.434
25.8	2.4382
25.9	2.4534
26	2.4735
26.1	2.4927
26.2	2.5061
26.3	2.5094
26.4	2.4979
26.5	2.4673
26.6	2.4155
26.7	2.3505
26.8	2.2827
26.9	2.2227
27	2.1808
27.1	2.1637
27.2	2.1624
27.3	2.1641
27.4	2.1561
27.5	2.1256
27.6	2.0644
27.7	1.9829
27.8	1.8961
27.9	1.819
28	1.7668
28.1	1.7493
28.2	1.756
28.3	1.7715
28.4	1.7802
28.5	1.7665
28.6	1.7198
28.7	1.6487
28.8	1.5666
28.9	1.4869
29	1.4232
29.1	1.3857
29.2	1.3717
29.3	1.3755
29.4	1.3913
29.5	1.4133
29.6	1.4357
29.7	1.4527
29.8	1.4586
29.9	1.4474
30	1.4134
30.1	0.921265342
30.2	0.907643733
30.3	0.89422353
30.4	0.881001754
30.5	0.867975473
30.6	0.855141795
30.7	0.842497873
30.8	0.8300409
30.9	0.817768114
31	0.80567679
31.1	0.793764246
31.2	0.782027837
31.3	0.77046496
31.4	0.75907305
31.5	0.747849577
31.6	0.736792052
31.7	0.72589802
31.8	0.715165066
31.9	0.704590806
32	0.694172895
32.1	0.68390902
32.2	0.673796905
32.3	0.663834305
32.4	0.654019009
32.5	0.644348841
32.6	0.634821653
32.7	0.625435331
32.8	0.616187794
32.9	0.607076988
33	0.598100893
33.1	0.589257516
33.2	0.580544895
33.3	0.571961097
33.4	0.563504217
33.5	0.555172378
33.6	0.546963732
33.7	0.538876457
33.8	0.530908759
33.9	0.523058869
34	0.515325045
34.1	0.507705572
34.2	0.500198759
34.3	0.49280294
34.4	0.485516473
34.5	0.478337743
34.6	0.471265155
34.7	0.464297141
34.8	0.457432154
34.9	0.450668672
35	0.444005193
35.1	0.437440238
35.2	0.430972351
35.3	0.424600097
35.4	0.418322061
35.5	0.412136851
35.6	0.406043094
35.7	0.400039438
35.8	0.39412455
35.9	0.388297119
36	0.382555851
36.1	0.376899471
